soh,rul
100.0,14
99.87630998873664,13
97.9372579020955,12
97.63131045611031,11
94.43493860168427,10
94.52755118073176,9
91.30035288369557,8
90.9272591550547,7
89.1034314508671,6
89.08108528807125,5
83.91028016565579,4
83.43258608791001,3
81.52283441912084,2
81.66582583601881,1
79.06499974476759,0
78.72488529456805,0
76.30375708767203,0
76.55315563410674,0
73.04135627198895,0
72.88105704676853,0
70.41677135615929,0
71.00029235714776,0
68.61158198363995,0
68.73028614538703,0
67.09596540506713,0
66.76554110269691,0
71.68908844897574,0
70.55274063280406,0
66.25868443261169,0
66.31329681410263,0
64.6885600846974,0
64.75770487043143,0
63.03027852156118,0
63.0848385969774,0
62.11382610649889,0
61.98163784970987,0
61.10807999581023,0
61.066289165747946,0
61.01884808632029,0
60.81824202531243,0
60.473389731966186,0
60.12990999244911,0
59.81282513131212,0
59.54386981422394,0
58.75252769603344,0
58.902560080719766,0
58.0976631979364,0
58.12168806088985,0
56.95004537833732,0
56.87977359226056,0
55.60473843979399,0
55.48574046242813,0
54.84840791313348,0
54.56491488827119,0
55.00722937572801,0
55.17596048604211,0
55.3901443157086,0
53.603384713499935,0
54.88551420053579,0
54.25571902953339,0
53.308707270942165,0
53.53601906354227,0
55.50262451862169,0
54.228137220909964,0
52.205970582639296,0
38.98811279814961,0
49.97881802855819,0
50.28211470344313,0
46.129122550680215,0
45.23394869761852,0
44.819212571489956,0
44.253139657219535,0
42.073243089333346,0
42.09558421377474,0
40.67463566399214,0
40.82585259233282,0
40.192146929023515,0
100.0,13
99.85194018234924,12
98.15728543092105,11
97.94762623434212,10
96.47150847816408,9
96.38835313707308,8
93.27233580983177,7
93.61645616799652,6
90.89564229178389,5
90.39889732710228,4
84.41702214954988,3
84.59882573389874,2
80.60743781147565,1
79.69326226597394,0
74.88937270132426,0
74.68631859279357,0
72.05119469545825,0
71.63810723711285,0
69.11494410241194,0
68.9997996214088,0
67.7732075168957,0
67.35786320019164,0
65.48968379239518,0
65.42647371728228,0
64.22624930095412,0
64.18488988093554,0
69.68469703548628,0
68.40539117735727,0
63.74149077062098,0
63.63390762074362,0
62.31558290621677,0
62.321287068294126,0
60.83223545624305,0
60.99878372340831,0
60.85644498133876,0
60.96515569813838,0
61.33055370841852,0
60.921114260704,0
61.35041613139157,0
61.20536472861692,0
61.376187005037295,0
62.07912548987103,0
61.42532836133362,0
61.51812778231076,0
61.44052464707248,0
61.4867471968993,0
60.71010722368818,0
60.88868012982235,0
60.90625690831648,0
61.17156677237904,0
60.20551392893534,0
60.596564683644246,0
59.91207452020808,0
60.588998311631045,0
60.287952270118716,0
60.65392872222999,0
58.92014726594421,0
60.200674146395095,0
59.04762865562627,0
58.83451850731801,0
56.18175150402255,0
56.521812422284725,0
58.7860994571266,0
57.7893966253096,0
54.18788154812644,0
53.45224362254698,0
52.583191912397574,0
52.74459588762615,0
48.345923828496694,0
41.22583650202024,0
47.165980427779594,0
47.576711403912384,0
33.09282894664863,0
46.23804306064657,0
38.76009882513861,0
45.61843926637193,0
45.36606325818243,0
100.0,34
99.84771796951046,33
98.94648415561227,32
98.79549600920642,31
97.98033298315522,30
97.60801490270016,29
96.73488739542746,28
96.48295599167027,27
95.937463417343,26
95.82344327389552,25
94.1816287517126,24
94.18275653040047,23
91.65860016232584,22
91.78636055207639,21
89.52901727797017,20
82.44638668411692,19
87.7423892325239,18
87.76361675914714,17
85.73698499081728,16
85.34814711845587,15
84.44827511672659,14
84.43325405453587,13
83.32752804704204,12
83.26736127626938,11
82.26316659495035,10
82.10893627553293,9
81.17220439855897,8
80.94520253573208,7
83.33708043402247,6
83.01913188681928,5
81.92660615042004,4
81.698315378711,3
80.6085899510895,2
80.535776615987,1
79.5092930317136,0
79.41907604356498,0
77.93208780360943,0
77.68306238191094,0
76.9065992596465,0
76.63888605221324,0
75.61696068126606,0
75.65291480448411,0
74.6544097636603,0
74.46556637001926,0
73.48167051103366,0
73.59656449888176,0
71.97912076932674,0
71.6498676354924,0
70.5109098023979,0
70.34395868864345,0
69.95465062656734,0
69.68943921581867,0
68.88174834547483,0
68.76064543876149,0
67.89473190740361,0
67.06200210803138,0
67.05400715814486,0
66.7969897053448,0
66.6968379030564,0
64.84292954365802,0
64.97009569533516,0
64.38083282347911,0
