battery_id,condition,cycle,date,capacity,soh,rul,ri,peak_temp,voltage_drop,duration,mean_rw_temp,max_rw_temp
RW10,Uniform RT,1,06-Jan-2014 14:03:52,2.0950402777777777,100.0,14,0.08275862068965568,26.36092,0.9159999999999995,7542.91,25.0,25.0
RW10,Uniform RT,2,06-Jan-2014 19:04:32,2.0924489222222222,99.87630998873664,13,0.08308605341246343,26.39203,0.9159999999999995,7533.88,25.0,25.0
RW10,Uniform RT,3,11-Jan-2014 13:20:39,2.051825,97.9372579020955,12,0.08678500986193302,26.31426,0.9119999999999999,7387.07,28.52964514046587,36.36126
RW10,Uniform RT,4,11-Jan-2014 18:41:56,2.045415277777778,97.63131045611031,11,0.08785784797630841,25.48992,0.9109999999999996,7363.89,28.52964514046587,36.36126
RW10,Uniform RT,5,16-Jan-2014 04:38:01,1.97845,94.43493860168427,10,0.09270216962524686,25.72323,0.9059999999999997,7123.11,28.607965848230954,37.26995
RW10,Uniform RT,6,16-Jan-2014 10:13:47,1.9803902708333336,94.52755118073176,9,0.09288537549407144,26.4698,0.9059999999999997,7130.05,28.607965848230954,37.26995
RW10,Uniform RT,7,20-Jan-2014 21:31:14,1.912779166666667,91.30035288369557,8,0.09297725024728024,25.97208,0.9059999999999997,6886.63,28.3092057632976,36.33046
RW10,Uniform RT,8,21-Jan-2014 03:08:12,1.9049627027777778,90.9272591550547,7,0.09467455621301783,25.42771,0.9039999999999999,6858.54,28.3092057632976,36.33046
RW10,Uniform RT,9,25-Jan-2014 07:31:24,1.866752777777778,89.1034314508671,6,0.09566074950690377,26.0343,0.9029999999999996,6720.85,28.7633083191039,37.59338
RW10,Uniform RT,10,25-Jan-2014 13:08:21,1.866284616666667,89.08108528807125,5,0.09467455621301783,26.96751,0.9039999999999999,6719.24,28.7633083191039,37.59338
RW10,Uniform RT,11,29-Jan-2014 17:13:52,1.7579541666666667,83.91028016565579,4,0.09772951628825292,33.49659,0.9009999999999998,6329.38,28.067181135497975,35.14455
RW10,Uniform RT,12,29-Jan-2014 23:02:07,1.7479462833333335,83.43258608791001,3,0.10029498525073778,32.81892,0.8979999999999997,6293.24,28.067181135497975,35.14455
RW10,Uniform RT,13,02-Feb-2014 23:17:57,1.707936216666667,81.52283441912084,2,0.10276679841897242,32.35688,0.8959999999999999,6149.24,34.303600251835874,41.55933
RW10,Uniform RT,14,03-Feb-2014 04:59:10,1.7109319444444446,81.66582583601881,1,0.10187932739861501,33.45039,0.8970000000000002,6159.97,34.303600251835874,41.55933
RW10,Uniform RT,15,07-Feb-2014 02:05:54,1.656443590277778,79.06499974476759,0,0.09970384995064165,34.54389,0.899,5963.85,34.52733021116212,42.37164
RW10,Uniform RT,16,07-Feb-2014 07:40:49,1.6493180555555556,78.72488529456805,0,0.10089020771513385,33.88163,0.8979999999999997,5938.03,34.52733021116212,42.37164
RW10,Uniform RT,17,11-Feb-2014 02:50:38,1.5985944444444447,76.30375708767203,0,0.10531496062992146,33.09615,0.8929999999999998,5755.6,35.13319621578672,42.58621
RW10,Uniform RT,18,11-Feb-2014 08:36:36,1.6038194444444445,76.55315563410674,0,0.10453648915187363,33.06535,0.8940000000000001,5774.34,35.13319621578672,42.58621
RW10,Uniform RT,19,15-Feb-2014 01:40:01,1.5302458333333333,73.04135627198895,0,0.10749506903353055,33.38878,0.891,5509.58,34.20572970683999,41.42139
RW10,Uniform RT,20,15-Feb-2014 07:23:35,1.5268875,72.88105704676853,0,0.10760118460019744,33.17316,0.891,5497.34,34.20572970683999,41.42139
RW10,Uniform RT,21,18-Feb-2014 16:17:35,1.4752597222222221,70.41677135615929,0,0.1066140177690035,34.06644,0.8919999999999995,5310.07,33.98824257903516,40.88496
RW10,Uniform RT,22,18-Feb-2014 21:52:41,1.4874847222222225,71.00029235714776,0,0.10760118460019744,33.09615,0.891,5355.55,33.98824257903516,40.88496
RW10,Uniform RT,23,22-Feb-2014 11:54:14,1.437440277777778,68.61158198363995,0,0.10979228486646862,33.25017,0.8890000000000002,5175.53,34.20407147622698,40.63974
RW10,Uniform RT,24,22-Feb-2014 17:28:57,1.4399271777777778,68.73028614538703,0,0.10858835143139223,33.91243,0.8899999999999997,5184.32,34.20407147622698,40.63974
